FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
94.98918465,232.4749264,41.832,16,5,Summer,FR1
93.98401084,234.0314122,27.36,144,3,Summer,FR1
89.05197217,234.5167121,37.008,6,3,Summer,FR1
91.7258183,236.2045009,33.804,10,3,Summer,FR1
93.78183363,238.1735552,25.74,103,3,Summer,FR1
93.54052792,239.8055259,28.98,1,3,Summer,FR1
92.03174792,241.2486421,37.008,356,4,Summer,FR1
90.99371972,242.4986586,43.452,353,4,Summer,FR1
89.16208476,243.444346,28.98,76,2,Summer,FR1
89.2111656,244.5942351,54.72,353,5,Summer,FR1
88.5257798,245.1305911,33.804,167,2,Summer,FR1
88.19463842,245.5976091,43.452,340,3,Fall,FR1
88.50178925,246.8092636,35.424,11,2,Fall,FR1
90.41664647,248.1527099,22.536,47,1,Fall,FR1
91.53392589,249.727354,33.804,23,3,Fall,FR1
93.15278615,251.6570683,41.832,9,5,Fall,FR1
93.20318452,253.139984,49.896,335,5,Fall,FR1
88.6872376,253.2706973,46.656,298,4,Fall,FR1
84.26253085,253.2284134,16.092,290,1,Fall,FR1
80.74420011,253.1860887,17.712,311,1,Fall,FR1
80.79050178,253.1437231,20.916,108,1,Fall,FR1
85.15515369,253.5206264,19.296,58,1,Fall,FR1
86.08750374,253.8047442,25.74,67,1,Fall,FR1
88.39711195,254.3473462,62.748,348,5,Fall,FR1
88.20609649,254.6609128,65.988,356,5,Fall,FR1
88.2548617,255.1420768,64.368,356,5,Fall,FR1
81.26698196,255.229502,28.98,322,1,Fall,FR1
81.31345623,255.4197207,65.988,323,4,Fall,FR1
84.4706217,255.5489312,77.256,6,5,Fall,FR1
89.76810098,256.6139217,33.804,73,3,Fall,FR1
90.56957474,258.0839036,27.36,79,2,Fall,FR1
86.88729609,258.4610927,37.008,321,2,Fall,FR1
86.77172854,258.9161466,54.72,345,4,Fall,FR1
85.01706644,259.2955633,61.164,339,4,Fall,FR1
81.19069322,259.3797688,53.1,312,2,Fall,FR1
81.10362557,259.3644921,45.072,340,1,Fall,FR1
77.01938184,259.3534092,20.916,301,1,Fall,FR1
76.35038172,259.3093814,19.296,317,1,Fall,FR1
78.8221269,259.2653116,45.072,13,1,Fall,FR1
81.86737781,259.2341068,25.74,317,1,Fall,FR1
81.27392532,259.189965,40.248,306,1,Fall,FR1
84.18714751,39.63567015,67.608,338,2,Spring,FR1
84.17097235,39.88789745,32.184,246,1,Spring,FR1
88.039983,41.94574859,46.656,345,1,Spring,FR1
87.99753965,42.9786104,41.832,31,1,Spring,FR1
87.70359495,44.07024545,40.248,348,1,Spring,FR1
90.52413058,46.08499154,59.544,332,4,Spring,FR1
90.88264232,48.35538835,51.516,339,3,Spring,FR1
90.9322912,50.33392612,59.544,343,4,Spring,FR1
90.98195647,52.20264161,45.072,296,2,Spring,FR1
84.90037543,52.59612022,54.72,289,1,Spring,FR1
83.25476552,52.76908145,57.924,360,1,Spring,FR1
83.30189606,52.83852243,38.628,58,1,Spring,FR1
83.85217502,53.2670348,38.628,44,1,Spring,FR1
85.48235855,54.21680041,25.74,312,1,Spring,FR1
89.87809786,56.59461257,43.452,351,2,Spring,FR1
93.79868674,59.83893556,67.608,342,5,Spring,FR1
93.51111871,62.1527907,64.368,355,5,Spring,FR1
83.75760407,62.21199376,49.896,54,1,Spring,FR1
86.36389711,63.52014651,43.452,357,1,Spring,FR1
92.57952606,66.35338163,41.832,332,3,Spring,FR1
93.5326262,68.89098567,64.368,339,5,Spring,FR1
93.58415147,71.2483611,49.896,351,4,Spring,FR1
93.20091452,73.69873492,37.008,72,3,Spring,FR1
91.35542154,75.9128187,49.896,328,4,Spring,FR1
92.20652037,78.29013051,61.164,341,5,Spring,FR1
93.38196172,80.18884428,53.1,359,5,Spring,FR1
92.74860001,81.83717316,38.628,40,3,Spring,FR1
91.21583972,82.84643819,40.248,340,3,Spring,FR1
93.48463543,85.12010334,45.072,3,4,Spring,FR1
94.45267311,87.81976815,41.832,328,4,Spring,FR1
94.69171807,90.60407317,67.608,335,5,Spring,FR1
93.03026737,92.07757769,75.636,335,5,Spring,FR1
91.46094473,93.21462773,54.72,29,5,Spring,FR1
89.60931381,94.47963656,40.248,342,2,Spring,FR1
90.47985805,97.05266532,38.628,312,3,Spring,FR1
